original_address,corrected_address
"985 Lawson Way, Woodburn, OR 97071","985 N PACIFIC HWY, WOODBURN, OR 97071"
"6255 SE Tuallatin Valley, Hillsboro, OR 97123","6255 SE Tualatin Valley Hwy, Hillsboro, OR 97123"
"58761 S Columbia River Hwy, Saint Helens, OR 97051","58761 S Columbia River Hwy, St Helens, OR 97051"
"19305 S.W. Martinazzi Ave., Tualatin, OR 97062","19305 SW Martinazzi Ave, Tualatin, OR 97062"
"19005 S Bevercreek Rd, Oregon City, OR 97045","19005 S Beavercreek Rd, Oregon City, OR 97045"
"16240 S.W. Langer Drive, Sherwood, OR 97140","16240 SW Langer Dr, Sherwood, OR 97140"
"1214 S Highway 97, Redmond, OR 97756","1214 S Hwy 97, Redmond, OR 97756"
"112 Clover Leap Loop, Sutherlin, OR 97479","112 W Central Ave, Sutherlin, OR 97479"
"Highway 213 and Highway 211, Molalla, OR 97038","207 Robbins St, Molalla, OR 97038"
"6345 N Lamb Blvd Ste #100, Las Vegas, NV 89115","6345 N Lamb Blvd, Las Vegas, NV 89115"
"6053 US Highway 6, Portage, IN 46368","6053 US-6, Portage, IN 46368"
"1806 US Highway 371 W, Prescott, AR 71857","1806 US Highway 371, Prescott, AR 71857"
"12075 S. Blackbob Rd., Olathe, KS 66062","12075 South Blackbob Road, Olathe, KS 66062"
"190 City View Dr., Mountain Home, ID 83647","190 City View Drive, Mountain Home, ID 83647"
"40-09 21st Street Unit E, Long Island, NY 11101","40-09 21st Street, Long Island City, NY 11101"
"625 H Street NE Suite A, Washington, DC 20002","625 H Street NE, Washington, DC 20002"
"675 Beverage Hill Ave Ste 100, Pawtucket, RI 02861","675 Beverage Hill Avenue, Pawtucket, RI 02861"
"119 Brentwood, Berea, KY 40403","119 Wal-Mart Dr, Berea, KY 40403"
"25 Jerome Drive, Dover, DE 19901","505 N DuPont Hwy, Dover, DE 19901"
"State Highway 264 & IR 12, Window Rock, AZ 86515","Window Rock Shopping Center, Window Rock, AZ 86515"
"12199 N. NC Highway 150, Winston-Salem, NC 27127","12199 N NC Highway 150, Winston-Salem, NC 27127"
"423 E Highway 54, Camdenton, MO 65020","428 E Highway 54, Camdenton, MO 65020"
"254 West Bypass, Andalusia, AL 36420","1208 M. L. K. Jr. Expy, Andalusia, AL 36420"
"1806 US Highway 371, Prescott, AR 71857","1806 US 371, Prescott, AR 71857"
"12075 South Blackbob Road, Olathe, KS 66062","12075 South Black Bob Road, Olathe, KS 66062"
