item_id,name,category,is_breakfast,is_drink,serving_weight_grams,calories,fat_calories,total_fat,saturated_fat,trans_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,sodium,total_carb,fibers,sugars,protein
166711,Breakfast Crunchwrap - Bacon,INM Breakfast,1,0,206.95,667.74,319.11,40.3,13.23,0.2,10.33,15.77,140.53,1303.32,52.07,3.77,2.71,20.65
166712,Breakfast California Crunchwrap - Bacon,INM Breakfast,1,0,229.63,635.45,292.77,37.7,12.37,0.21,8.29,16.37,137.04,1331.73,53.29,4.64,2.96,20.85
166715,Breakfast Crunchwrap - Steak,INM Breakfast,1,0,229.63,664.04,298.31,37.99,12.5,0.2,9.72,14.75,145.86,1348.98,53.09,3.89,3.16,23.9
166716,Bean Burrito,Veggie Cravings,0,0,189.9,359.97,81.42,10.4,4.27,0.05,4.01,1.94,7.08,1084.4,53.76,8.49,3.11,12.88
166718,Beefy 5-Layer Burrito,Burritos,0,0,222.54,490.89,156.59,18.14,7.56,0.26,4.75,5.19,27.91,1288.97,64.6,7.36,4.1,17.32
166722,Black Beans & Rice,Veggie Cravings,0,0,116.23,157.62,41.03,4.56,0.42,0.0,1.07,3.06,0.0,368.23,24.97,4.95,0.65,4.18
166727,Burrito Supreme&reg; - Beef,INM Burritos,0,0,232.47,393.0,119.85,14.1,6.52,0.26,3.34,3.74,27.51,1164.48,51.09,7.45,3.96,15.68
166728,Burrito Supreme&reg; - Chicken,INM Burritos,0,0,229.63,369.47,92.05,11.01,5.03,0.09,3.31,2.32,37.58,1156.58,48.7,6.11,3.96,19.13
166729,Fresco Burrito Supreme&reg; - Chicken,Fresco Menu (OLD),0,0,208.37,323.58,61.38,7.65,2.75,0.0,3.19,1.53,26.84,1098.58,46.77,5.9,3.42,17.15
166730,Burrito Supreme&reg; - Steak,INM Burritos,0,0,226.8,379.88,103.18,12.25,5.65,0.09,3.2,3.01,31.8,1177.23,49.09,5.92,4.66,18.57
166731,Fresco Burrito Supreme&reg; - Steak,Fresco Menu (OLD),0,0,205.53,333.99,72.5,8.89,3.37,0.0,3.08,2.22,21.06,1119.24,47.16,5.71,4.12,16.59
166734,Veggie Bowl,Veggie Cravings,0,0,294.83,414.82,179.39,20.13,5.66,0.17,4.93,9.05,20.25,847.66,46.77,11.16,3.13,11.94
166739,Chalupa Supreme&reg; - Beef,INM Tacos,0,0,146.0,355.0,181.18,20.11,5.39,0.26,4.11,9.99,25.99,577.81,31.45,4.26,3.44,12.26
166740,Chalupa Supreme&reg; - Chicken,INM Tacos,0,0,143.16,331.47,153.38,17.02,3.89,0.09,4.08,8.57,36.06,569.9,29.07,2.91,3.44,15.71
166741,Chalupa Supreme&reg; - Steak,INM Tacos,0,0,140.33,341.88,164.5,18.25,4.51,0.09,3.97,9.27,30.28,590.56,29.45,2.72,4.14,15.15
166742,Cheese Quesadilla,Veggie Cravings,0,0,138.91,469.11,219.86,24.46,12.94,0.36,5.52,4.55,48.0,995.96,40.53,2.64,3.38,18.17
166743,Cheesy Roll Up,Veggie Cravings,0,0,56.7,179.27,77.59,8.63,5.54,0.17,1.06,1.49,22.25,431.52,16.91,1.06,1.3,8.48
166744,Cheesy Bean & Rice Burrito,Veggie Cravings,0,0,181.44,421.26,143.89,16.62,4.27,0.01,6.94,4.83,3.94,941.62,54.9,5.61,3.29,9.48
166751,Cheesy Fiesta Potatoes (V),Sides & Sweets,0,0,119.07,238.4,114.74,12.59,1.77,0.04,2.49,7.93,4.1,522.21,28.11,2.56,1.0,3.07
166754,Cool Ranch&reg; Doritos&reg; Cheesy Gordita Crunch,Test Items,0,0,174.35,494.1,253.01,27.69,10.54,0.43,7.84,6.02,52.79,910.67,41.77,4.52,4.64,19.54
166758,Quesadilla - Chicken,INM Quesadillas,0,0,178.6,513.93,229.27,25.5,13.31,0.36,5.74,4.97,74.78,1250.09,41.16,2.95,3.38,26.39
166759,Soft Taco - Chicken,INM Tacos,0,0,89.3,159.57,46.5,5.23,2.69,0.05,1.11,1.25,33.81,496.27,16.06,1.32,1.08,12.17
166761,Chips and Guacamole,Side Portions - Hidden,0,0,76.54,245.78,140.99,16.15,2.13,0.05,4.24,9.85,0.0,236.83,22.47,3.71,1.03,2.71
166763,Chips and Nacho Cheese Sauce (V),Nachos,0,0,70.87,219.55,118.65,12.77,1.26,0.0,3.43,8.01,0.75,283.33,23.66,2.0,1.27,2.56
166765,Cinnabon&reg; Delights&trade; (12 Pack - Serves 4),Veggie Cravings,0,0,207.52,1007.38,612.41,68.05,22.14,0.0,10.38,35.49,39.01,433.86,87.95,4.77,51.92,10.79
166766,Cinnabon&reg; Delights&trade; (2 Pack),Veggie Cravings,0,0,34.59,167.9,102.07,11.34,3.69,0.0,1.73,5.91,6.5,72.31,14.66,0.8,8.65,1.8
166768,Cinnamon Twists (V),Sides & Sweets,0,0,35.44,166.83,54.7,6.08,0.57,0.0,0.75,4.75,0.0,115.4,26.69,0.56,9.79,1.35
166771,Crunchwrap Supreme&reg;,Specialties,0,0,257.89,534.82,181.26,20.22,6.63,0.22,6.36,6.45,21.29,1215.05,73.07,5.81,5.58,15.44
166772,Crunchy Taco,Tacos,0,0,77.96,166.1,86.05,9.37,3.82,0.22,2.1,3.16,23.71,309.7,13.16,3.1,0.45,7.37
166774,Crunchy Taco Supreme&reg;,Tacos,0,0,106.31,187.0,97.26,10.62,4.61,0.26,2.15,3.45,27.44,323.54,15.16,3.32,1.37,7.9
166779,Nacho Cheese Doritos&reg; Locos Taco Supreme&reg;,Tacos,0,0,106.31,187.41,96.35,10.75,4.69,0.26,2.1,3.5,27.71,383.04,14.91,3.19,1.48,7.96
166781,Nacho Cheese Doritos&reg; Locos Taco,Tacos,0,0,77.96,166.51,85.13,9.5,3.91,0.22,2.06,3.21,23.98,369.2,12.92,2.97,0.57,7.43
166795,Fresco Soft Taco - Steak,Fresco Menu (OLD),0,0,93.55,145.01,38.16,4.35,1.82,0.0,0.93,1.44,21.02,472.77,16.51,1.14,2.16,10.15
166804,Mexican Pizza,Specialties,0,0,212.62,531.44,249.4,28.18,8.4,0.35,5.94,13.17,38.92,1009.56,50.32,7.94,3.07,19.23
166811,Doritos&reg; Cheesy Gordita Crunch - Nacho Cheese,Tacos,0,0,174.35,494.54,254.09,27.9,10.63,0.42,9.58,6.88,53.06,904.59,41.33,4.78,4.45,19.62
