product_code,item_name
30179,Cheesy Toasted Breakfast Burrito Bacon
30180,Cheesy Toasted Breakfast Burrito Sausage
30181,Cheesy Toasted Breakfast Burrito Potato
30187,Grande Toasted Breakfast Burrito Steak
30186,Grande Toasted Breakfast Burrito Sausage
30185,Grande Toasted Breakfast Burrito Bacon
30190,Grande Toasted Breakfast Burrito Combo
30151,Breakfast Quesadilla Bacon
30153,Breakfast Quesadilla Steak
30093,Breakfast California Crunchwrap
30029,Breakfast Crunchwrap Bacon
30028,Breakfast Crunchwrap Sausage
32031,Breakfast Crunchwrap Combo
30017,Hash Brown
30046,Cinnabon Delights® 2 Pack
30045,Cinnabon Delights® 12 Pack
1527Main,Premium Hot Coffee
1280Main,Hot Cinnabon Delights® Coffee
1534Main,Regular Iced Coffee
1281Main,Iced Cinnabon Delights® Coffee
2633,Breakfast Salsa
22205,Chili Cheese Burrito
22130,Double Decker® Taco
22706,Double Decker® Taco Supreme®
22240,7-Layer Burrito
22142,Cool Ranch® Doritos® Locos Tacos
22143,Cool Ranch® Doritos® Locos Tacos Supreme®
2065Main,Strawberry Vanilla Cream Soda Freeze
23551,Build Your Own Luxe Cravings Box
28183,Large Nacho Fries
28095,Nacho Fries
22110,Soft Taco
22100,Crunchy Taco
22813,Cheesy Gordita Crunch
22850,Chalupa Supreme
22283,Cheesy Bean and Rice Burrito
22321,Chicken Quesadilla
22259,Spicy Potato Soft Taco
22362,Crunchwrap Supreme®
22167,Beefy 5-Layer Burrito
22502,Nachos BellGrande®
22525,Cinnamon Twists
23472,Cantina Chicken Burrito
23470,Cantina Chicken Soft Taco
23471,Cantina Chicken Crispy Taco
23477,Cantina Chicken Quesadilla
23473,Cantina Chicken Bowl
23478,Cantina Chicken Crispy Taco Meal
23479,Cantina Chicken Burrito Meal
23480,Cantina Chicken Quesadilla Meal
23476,Avocado Verde Salsa Sauce Packet
29071,Flamin' Hot® Grilled Cheese Burrito
29088,Frank's RedHot® Diablo Crispy Chicken Burrito
29016,Avocado Ranch Crispy Chicken Burrito
