canonical_product_id,product_code,item_id,category,name_nutrition,category_nutrition,match_confidence,match_method
8b764edf11c8d07b,22205,167116,member-exclusive,Chili Cheese Burrito (regional),Burritos,0.85,rule
ec22b927dbe1fce7,2065Main,854344,member-exclusive,Strawberry Vanilla Cream Soda Freeze&trade; (16 oz),Test Items,0.725,rule_lo
235d26d3405a473b,22110,166835,best-sellers,Soft Taco,Tacos,1.1,rule
c611b6551e17e7f6,22100,166772,best-sellers,Crunchy Taco,Tacos,1.1,rule
13d28848e281d917,22813,354902,best-sellers,Cheesy Gordita Crunch,Tacos,1.1,rule
ac083a30eec7c29f,22850,354903,best-sellers,Chalupa Supreme&reg;,Tacos,0.767,rule_lo
3bde3fa8aa956905,22283,166744,best-sellers,Cheesy Bean & Rice Burrito,Veggie Cravings,1.0,rule
05eb223cc7fc3dee,22321,166758,best-sellers,Quesadilla - Chicken,INM Quesadillas,1.0,rule
ee371cad3de90fa9,22362,166771,best-sellers,Crunchwrap Supreme&reg;,Specialties,0.767,rule_lo
56855ae500e12391,22167,166718,best-sellers,Beefy 5-Layer Burrito,Burritos,1.1,rule
82b546c98af8862e,22502,166812,best-sellers,Nachos BellGrande&reg;,Nachos,0.767,rule_lo
bf1787b41e980748,22525,354895,best-sellers,Cinnamon Twists,Veggie Cravings,1.1,rule
344b47d17ba2a0a0,23472,423325,cantina-chicken-menu,Cantina Chicken Burrito,Cantina Chicken Menu,1.1,rule
30e232bc350c93d9,23470,423323,cantina-chicken-menu,Cantina Chicken Soft Taco,Cantina Chicken Menu,1.1,rule
5da20dea752c97a7,23471,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,1.1,rule
58443dab85318e00,23477,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
5be021966983fd53,23473,423324,cantina-chicken-menu,Cantina Chicken Bowl,Cantina Chicken Menu,1.1,rule
a535a11beee560df,23478,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,0.8,rule
62dbe360a232dc21,23479,423325,cantina-chicken-menu,Cantina Chicken Burrito,Cantina Chicken Menu,0.75,rule_lo
863d7c475e671a00,23480,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,0.75,rule_lo
a359a75e4ca554fe,23476,441114,cantina-chicken-menu,Avocado Salsa Verde Packet,Side Portions - Hidden,0.8,rule
8b7fc7c4bcb68ed8,29071,719813,new,Flamin' Hot Grilled Cheese Burrito,New,1.1,rule
333174cb078841f7,29016,646120,new,Crispy Chicken Burrito - Avocado Ranch,Test Items,1.0,rule
b4695c37f7d4112b,29015,646124,new,Crispy Chicken Soft Taco - Avocado Ranch,Test Items,1.0,rule
b54896048bc8f9fa,23378,420881,deals-and-combos,Grilled Cheese Burrito - Steak,INM Burritos,1.0,rule
